trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.3, 'e': 0.23692775868212176}",20,0,-20.1055736630308,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
81,False,"{'a': 0.3, 'e': 0.23270121206157107}",25,0,-45.71939837834797,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
82,False,"{'a': 0.3, 'e': 0.2285500626694205}",35,0,-29.732350655149187,"{0: 31, 1: 0, 2: 2, 3: 1, 4: 1}",0
83,False,"{'a': 0.3, 'e': 0.22447296549695234}",25,0,14.36009718748172,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.3, 'e': 0.22046859952901599}",20,5,-10.174238561364097,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.3, 'e': 0.2165356673160071}",25,0,-114.85764926716254,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 3}",0
86,False,"{'a': 0.3, 'e': 0.2126728945534831}",20,4,5.0892602683368775,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.3, 'e': 0.208879029669277}",20,12,5.716572504081142,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.3, 'e': 0.2051528434179772}",30,0,-10.762050590629116,"{0: 27, 1: 1, 2: 0, 3: 2, 4: 0}",1
89,False,"{'a': 0.3, 'e': 0.2014931284826413}",20,3,15.521108014672615,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.3, 'e': 0.1978986990836147}",30,18,21.945169919093892,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.3, 'e': 0.1943683905943277}",20,9,-5.143730794458701,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.3, 'e': 0.19090105916394634}",25,12,-27.90593748701755,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.3, 'e': 0.18749558134675456}",25,0,-87.77405334816335,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
94,False,"{'a': 0.3, 'e': 0.1841508537381482}",20,0,21.238750885524404,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
